Postee?,Date FR,Heure,Categorie,Type detail,ID,Statut,Bio active,Description (caption),Alt text (accessibilite),Reference fiche,Visuel path
☐,lun 11 mai 2026,19:30,📱 Story,Story,story-J17-concours-reminder1,planifiable-Meta-BS,v1 · concours video · 2 places offertes,Story J-17 reminder concours · compte à rebours mercredi 21h,Story J-17 reminder concours · compte à rebours mercredi 21h,concours#2,a-produire/story-J17-concours.png
☐,mar 12 mai 2026,12:30,📸 Post feed,Carrousel 4,post-J16-billetterie,planifiable-Meta-BS,v1 · concours video · 2 places offertes,"Carrousel 4 slides J-16 · update billetterie 50% des places vendues, jauge progression or","Carrousel 4 slides J-16 · update billetterie 50% des places vendues, jauge progression or",#7,a-produire/post-J16-billetterie.png
☐,mar 12 mai 2026,13:00,📸 Post feed,Carrousel 5,post-J16-dresscode,planifiable-Meta-BS,v1 · concours video · 2 places offertes,Post feed Insta · J16 dresscode,Post feed Insta · J16 dresscode,#12bis,visuels-generes/post-J16-dresscode/
☐,mar 12 mai 2026,19:00,📱 Story,Story,story-J16-50pct,planifiable-Meta-BS,v1 · concours video · 2 places offertes,Story J-16 countdown · 50% des 350 places parties,Story J-16 countdown · 50% des 350 places parties,#6,10_Exports_Visuels/countdown-stories/story-J-16.png
☐,mar 12 mai 2026,19:00,📱 Story,Story compagnon,story-J16-dresscode-compagnon,planifiable-Meta-BS,v1 · concours video · 2 places offertes,Story Insta · J16 dresscode compagnon,Story Insta · J16 dresscode compagnon,#12bis-compagnon,visuels-generes/story-J16-dresscode-compagnon/story.png
☐,mer 13 mai 2026,13:00,📸 Post feed,Carrousel 5,post-J15-pourquoi,planifiable-Meta-BS,v1 · concours video · 2 places offertes,"Carrousel 5 slides J-15 · 'Pourquoi 10 ans ?' · histoire du dernier gala 2016, retour 2026","Carrousel 5 slides J-15 · 'Pourquoi 10 ans ?' · histoire du dernier gala 2016, retour 2026",#9bis,visuels-generes/post-J15-pourquoi/
☐,mer 13 mai 2026,13:30,📱 Story,Story compagnon,story-J15-pourquoi-compagnon,planifiable-Meta-BS,v1 · concours video · 2 places offertes,Story compagnon du post J-15 'Pourquoi 10 ans ?' · CTA swipe up,Story compagnon du post J-15 'Pourquoi 10 ans ?' · CTA swipe up,#9bis-compagnon,visuels-generes/story-J15-pourquoi-compagnon/story.png
☐,mer 13 mai 2026,19:00,📝 Bio,BIO v2,bascule-bio-v2,manuel-mobile,v2 · J-15 · concours jusqu'a J-3,"Bascule bio Insta v2 · J-15, concours jusqu'à J-3","Bascule bio Insta v2 · J-15, concours jusqu'à J-3",bio-concours,
☐,mer 13 mai 2026,19:00,📱 Story,Story,story-J15-2sem,planifiable-Meta-BS,v2 · J-15 · concours jusqu'a J-3,Story J-15 countdown · 2 semaines pile,Story J-15 countdown · 2 semaines pile,#8,10_Exports_Visuels/countdown-stories/story-J-15.png
☐,mer 13 mai 2026,20:30,📱 Story,Story,story-J15-nouveau-concours,planifiable-Meta-BS,v2 · J-15 · concours jusqu'a J-3,Story J-15 teaser nouveau concours mercredi 21h,Story J-15 teaser nouveau concours mercredi 21h,#concours-2-teaser,visuels-generes/story-J15-nouveau-concours/story.png
☐,mer 13 mai 2026,21:00,🎬 Reel,Reel,reel-J15-promposal,planifiable-Meta-BS,v2 · J-15 · concours jusqu'a J-3,"Reel 9:16 · annonce PROMPOSITION officielle, Barney dance","Reel 9:16 · annonce PROMPOSITION officielle, Barney dance",calendrier-J-15,tiktok-promposal/reel-J15-promposal-FINAL.mp4
☐,mer 13 mai 2026,21:30,📱 Story,Story 3 slides,story-J15-boost,manuel-stickers,v2 · J-15 · concours jusqu'a J-3,Story J-15 boost · sticker question 'tu viens avec qui ?',Story J-15 boost · sticker question 'tu viens avec qui ?',#9,a-produire/story-J15-boost-slide-1-2-3.png
☐,jeu 14 mai 2026,19:00,📱 Story,Story,story-J14-concours-inspi,planifiable-Meta-BS,v2 · J-15 · concours jusqu'a J-3,Story J-14 inspiration concours · 'Donne-moi tes idées',Story J-14 inspiration concours · 'Donne-moi tes idées',concours#3,a-produire/story-J14-concours-inspi.png
☐,jeu 14 mai 2026,20:00,📱 Story,Story,story-J14-dj-indice,manuel,v2 · J-15 · concours jusqu'a J-3,"Story J-14 indice DJ · silhouette floutée, reveal J-10","Story J-14 indice DJ · silhouette floutée, reveal J-10",#10,a-produire/story-J14-dj-indice.png
☐,ven 15 mai 2026,19:00,📱 Story,Story,story-J13-coiffeur,planifiable-Meta-BS,v2 · J-15 · concours jusqu'a J-3,"Story J-13 countdown coiffeur · 'Pensez aux rdv coiffeur, barbier, manucure'","Story J-13 countdown coiffeur · 'Pensez aux rdv coiffeur, barbier, manucure'",#11,10_Exports_Visuels/countdown-stories/story-J-13.png
☐,sam 16 mai 2026,19:00,📱 Story,Story,story-J12-photographe,planifiable-Meta-BS,v2 · J-15 · concours jusqu'a J-3,Story J-12 countdown photographe · 'Photo et vidéo briefés',Story J-12 countdown photographe · 'Photo et vidéo briefés',#12,10_Exports_Visuels/countdown-stories/story-J-12.png
☐,dim 17 mai 2026,19:00,📱 Story,Story,story-J11-securite,planifiable-Meta-BS,v2 · J-15 · concours jusqu'a J-3,Story J-11 countdown sécurité · 'Carte étu obligatoire',Story J-11 countdown sécurité · 'Carte étu obligatoire',#13,10_Exports_Visuels/countdown-stories/story-J-11.png
☐,dim 17 mai 2026,20:00,🎬 Reel,Reel,reel-J11-champagne,planifiable-Meta-BS,v2 · J-15 · concours jusqu'a J-3,Reel 9:16 · '28 mai La Péniche · ça va pop' · ambiance champagne,Reel 9:16 · '28 mai La Péniche · ça va pop' · ambiance champagne,calendrier-J-11,tiktok-champagne/reel-J11-champagne-FINAL.mp4
☐,lun 18 mai 2026,19:00,📱 Story,Story,story-J10-10jours,planifiable-Meta-BS,v2 · J-15 · concours jusqu'a J-3,Story J-10 countdown · 10 jours pile,Story J-10 countdown · 10 jours pile,#14,10_Exports_Visuels/countdown-stories/story-J-10.png
☐,lun 18 mai 2026,19:30,📱 Story,Story,story-J10-concours-reminder2,planifiable-Meta-BS,v2 · J-15 · concours jusqu'a J-3,Story J-10 reminder concours · 'DM avant le 25 mai',Story J-10 reminder concours · 'DM avant le 25 mai',concours#4,a-produire/story-J10-concours.png
☐,lun 18 mai 2026,20:00,📸 Post feed,Carrousel 3,post-J10-djreveal,planifiable-Meta-BS,v2 · J-15 · concours jusqu'a J-3,"Carrousel 3 slides J-10 · DJ reveal officiel · set continu minuit-04h, ambiance disco","Carrousel 3 slides J-10 · DJ reveal officiel · set continu minuit-04h, ambiance disco",#15,a-produire/post-J10-djreveal.png
☐,mar 19 mai 2026,13:00,📸 Post feed,Carrousel 5,post-J9-transports,planifiable-Meta-BS,v2 · J-15 · concours jusqu'a J-3,"Carrousel 5 slides J-9 · 'Comment je viens ?' · Métro 10, RER B/C, Vélib, Noctilien","Carrousel 5 slides J-9 · 'Comment je viens ?' · Métro 10, RER B/C, Vélib, Noctilien",#16bis,visuels-generes/post-J9-transports/
☐,mar 19 mai 2026,13:30,📱 Story,Story compagnon,story-J9-transports-compagnon,planifiable-Meta-BS,v2 · J-15 · concours jusqu'a J-3,Story compagnon du post J-9 transports · CTA swipe up,Story compagnon du post J-9 transports · CTA swipe up,#16bis-compagnon,visuels-generes/story-J9-transports-compagnon/story.png
☐,mar 19 mai 2026,19:00,📱 Story,Story,story-J9-transports,planifiable-Meta-BS,v2 · J-15 · concours jusqu'a J-3,Story J-9 countdown transports · '7 lignes à 5 min à pied',Story J-9 countdown transports · '7 lignes à 5 min à pied',#16,a-produire/story-J9-transports.png
☐,mer 20 mai 2026,19:00,📱 Story,Story,story-J8-noctilien,planifiable-Meta-BS,v2 · J-15 · concours jusqu'a J-3,Story J-8 countdown retour de nuit · 'Noctiliens directs depuis Châtelet',Story J-8 countdown retour de nuit · 'Noctiliens directs depuis Châtelet',#17,a-produire/story-J8-noctilien.png
☐,jeu 21 mai 2026,13:00,📝 Bio,BIO v3,bascule-bio-v3,manuel-mobile,v3 ou v3-bis · J-7 · concours derniers jours / sold-out,"Bascule bio Insta v3 · J-7, concours derniers jours ou sold-out","Bascule bio Insta v3 · J-7, concours derniers jours ou sold-out",bio-concours,
☐,jeu 21 mai 2026,13:00,📸 Post feed,Carrousel 7,post-J7-recap,planifiable-Meta-BS,v3 ou v3-bis · J-7 · concours derniers jours / sold-out,"Carrousel 6 slides J-7 · récap complet une semaine avant · lieu, programme, dress code, transports","Carrousel 6 slides J-7 · récap complet une semaine avant · lieu, programme, dress code, transports",#19+slide-concours,a-produire/post-J7-recap.png
☐,jeu 21 mai 2026,13:30,📱 Story,Story compagnon,story-J7-recap-compagnon,planifiable-Meta-BS,v3 ou v3-bis · J-7 · concours derniers jours / sold-out,Story compagnon du post J-7 récap · CTA swipe up,Story compagnon du post J-7 récap · CTA swipe up,#19-compagnon,visuels-generes/story-J7-recap-compagnon/story.png
☐,jeu 21 mai 2026,19:00,📱 Story,Story,story-J7-1sem,planifiable-Meta-BS,v3 ou v3-bis · J-7 · concours derniers jours / sold-out,Story J-7 countdown · 'Une semaine pile',Story J-7 countdown · 'Une semaine pile',#18,10_Exports_Visuels/countdown-stories/story-J-07.png
☐,jeu 21 mai 2026,20:00,🎬 Reel,Reel,reel-J7-teaser,planifiable-Meta-BS,v3 ou v3-bis · J-7 · concours derniers jours / sold-out,Reel 9:16 8s · teaser comeback une semaine avant,Reel 9:16 8s · teaser comeback une semaine avant,#20,09_Video_Remotion/out/TeaserVertical.mp4
☐,ven 22 mai 2026,19:00,📱 Story,Story,story-J6-finalisation,planifiable-Meta-BS,v3 ou v3-bis · J-7 · concours derniers jours / sold-out,Story J-6 countdown finalisation · derniers détails programme,Story J-6 countdown finalisation · derniers détails programme,#21,10_Exports_Visuels/countdown-stories/story-J-06.png
☐,sam 23 mai 2026,13:00,📸 Post feed,Carrousel 5,post-J5-programme,planifiable-Meta-BS,v3 ou v3-bis · J-7 · concours derniers jours / sold-out,"Carrousel 5 slides J-5 · programme officiel 22h-04h, set DJ et photobooth","Carrousel 5 slides J-5 · programme officiel 22h-04h, set DJ et photobooth",#23,a-produire/post-J5-programme.png
☐,sam 23 mai 2026,13:30,📱 Story,Story compagnon,story-J5-programme-compagnon,planifiable-Meta-BS,v3 ou v3-bis · J-7 · concours derniers jours / sold-out,Story compagnon du post J-5 programme · CTA swipe up,Story compagnon du post J-5 programme · CTA swipe up,#23-compagnon,visuels-generes/story-J5-programme-compagnon/story.png
☐,sam 23 mai 2026,19:00,📱 Story,Story,story-J5-programme,planifiable-Meta-BS,v3 ou v3-bis · J-7 · concours derniers jours / sold-out,Story J-5 countdown programme · programme révélé,Story J-5 countdown programme · programme révélé,#22,10_Exports_Visuels/countdown-stories/story-J-05.png
☐,sam 23 mai 2026,19:30,📱 Story,Story,story-J5-concours-48h,planifiable-Meta-BS,v3 ou v3-bis · J-7 · concours derniers jours / sold-out,Story J-5 concours · 'Plus que 48h pour ta vidéo Promposition',Story J-5 concours · 'Plus que 48h pour ta vidéo Promposition',concours#5,a-produire/story-J5-concours-48h.png
☐,dim 24 mai 2026,13:00,📸 Post feed,Carrousel 6,post-J4-timeline,planifiable-Meta-BS,v3 ou v3-bis · J-7 · concours derniers jours / sold-out,Carrousel 6 slides J-4 · 'Qu'est-ce qui se passe ?' · timeline détaillée 22h-04h,Carrousel 6 slides J-4 · 'Qu'est-ce qui se passe ?' · timeline détaillée 22h-04h,#24bis,visuels-generes/post-J4-timeline/
☐,dim 24 mai 2026,19:00,📱 Story,Story,story-J4-tenue,planifiable-Meta-BS,v3 ou v3-bis · J-7 · concours derniers jours / sold-out,Story J-4 countdown tenue · 'Sortez la tenue. Repassez. Essayez.',Story J-4 countdown tenue · 'Sortez la tenue. Repassez. Essayez.',#24,10_Exports_Visuels/countdown-stories/story-J-04.png
☐,dim 24 mai 2026,19:30,📱 Story,Story,story-J4-concours-demain,planifiable-Meta-BS,v3 ou v3-bis · J-7 · concours derniers jours / sold-out,Story J-4 concours · 'Deadline demain 23h59',Story J-4 concours · 'Deadline demain 23h59',concours#6,a-produire/story-J4-concours-demain.png
☐,lun 25 mai 2026,13:00,📸 Post feed,Image 1:1,post-J3-derniers,planifiable-Meta-BS,v3 ou v3-bis · J-7 · concours derniers jours / sold-out,Carrousel 1 slide J-3 · 'Derniers billets' · urgence avant sold-out,Carrousel 1 slide J-3 · 'Derniers billets' · urgence avant sold-out,#26,a-produire/post-J3-derniers.png
☐,lun 25 mai 2026,19:00,📱 Story,Story,story-J3-3jours,planifiable-Meta-BS,v3 ou v3-bis · J-7 · concours derniers jours / sold-out,Story J-3 countdown · 'Trois jours. Trois nuits. On y est presque.',Story J-3 countdown · 'Trois jours. Trois nuits. On y est presque.',#25,10_Exports_Visuels/countdown-stories/story-J-03.png
☐,lun 25 mai 2026,23:00,📱 Story,Story,story-J3-concours-1h,manuel,v3 ou v3-bis · J-7 · concours derniers jours / sold-out,Story J-3 concours rush · 'Plus qu'une heure pour DM',Story J-3 concours rush · 'Plus qu'une heure pour DM',concours#7,a-produire/story-J3-concours-1h.png
☐,mar 26 mai 2026,18:00,📸 Post feed,Carrousel 4,post-J2-shortlist,manuel-collab,v3 ou v3-bis · J-7 · concours derniers jours / sold-out,Carrousel 4 slides J-2 · shortlist concours PROMPOSITION · 3 finalistes en vote,Carrousel 4 slides J-2 · shortlist concours PROMPOSITION · 3 finalistes en vote,concours#8,a-produire/post-J2-shortlist.png
☐,mar 26 mai 2026,18:05,📱 Story,Story poll,story-J2-vote,manuel-poll,v3 ou v3-bis · J-7 · concours derniers jours / sold-out,Story J-2 poll vote concours · sticker poll sur 24h,Story J-2 poll vote concours · sticker poll sur 24h,concours#9,a-produire/story-J2-vote.png
☐,mar 26 mai 2026,19:00,📱 Story,Story,story-J2-48h,planifiable-Meta-BS,v3 ou v3-bis · J-7 · concours derniers jours / sold-out,Story J-2 countdown · 48h avant le gala,Story J-2 countdown · 48h avant le gala,#27,10_Exports_Visuels/countdown-stories/story-J-02.png
☐,mer 27 mai 2026,12:00,📱 Story,Story,story-J1-concours-vote-clos,planifiable-Meta-BS,v3 ou v3-bis · J-7 · concours derniers jours / sold-out,Story J-1 votes clos · 'Verdict ce soir 19h',Story J-1 votes clos · 'Verdict ce soir 19h',concours#10,a-produire/story-J1-vote-clos.png
☐,mer 27 mai 2026,13:00,📸 Post feed,Image 1:1,post-J1-demain,planifiable-Meta-BS,v3 ou v3-bis · J-7 · concours derniers jours / sold-out,Carrousel 1 slide J-1 · 'Demain' · countdown la veille du gala,Carrousel 1 slide J-1 · 'Demain' · countdown la veille du gala,#29,a-produire/post-J1-demain.png
☐,mer 27 mai 2026,19:00,📝 Bio,BIO v4,bascule-bio-v4,manuel-mobile,v4 · DEMAIN · gagnants concours révélés,"Bascule bio Insta v4 · DEMAIN, gagnants concours révélés","Bascule bio Insta v4 · DEMAIN, gagnants concours révélés",bio-concours,
☐,mer 27 mai 2026,19:00,📸 Post feed,Image 1:1,post-J1-gagnant,manuel-collab,v4 · DEMAIN · gagnants concours révélés,Carrousel 1 slide J-1 · gagnant concours PROMPOSITION révélé,Carrousel 1 slide J-1 · gagnant concours PROMPOSITION révélé,concours#11,a-produire/post-J1-gagnant.png
☐,mer 27 mai 2026,19:00,📱 Story,Story,story-J1-demain,planifiable-Meta-BS,v4 · DEMAIN · gagnants concours révélés,Story J-1 countdown · 'Demain',Story J-1 countdown · 'Demain',#28,10_Exports_Visuels/countdown-stories/story-J-01.png
☐,mer 27 mai 2026,19:05,📱 Story,Story 3 slides,story-J1-gagnant-celebration,manuel,v4 · DEMAIN · gagnants concours révélés,"Story J-1 gagnant célébration · 'Bravo, demain tu y es'","Story J-1 gagnant célébration · 'Bravo, demain tu y es'",concours#12,a-produire/story-J1-celebration.png
☐,jeu 28 mai 2026,11:00,📱 Story,Story,story-J0-matin,planifiable-Meta-BS,v4 · DEMAIN · gagnants concours révélés,Story matinale J-0 11h · 'Ce soir 22h La Péniche',Story matinale J-0 11h · 'Ce soir 22h La Péniche',#30,a-produire/story-J0-matin.png
☐,jeu 28 mai 2026,13:00,📸 Post feed,Image 1:1,post-J0-cesoir,planifiable-Meta-BS,v4 · DEMAIN · gagnants concours révélés,Carrousel 1 slide J-0 · 'Ce soir' · jour J 22h La Péniche,Carrousel 1 slide J-0 · 'Ce soir' · jour J 22h La Péniche,#31,a-produire/post-J0-cesoir.png
☐,jeu 28 mai 2026,18:00,📱 Story,Story,story-J0-jourj,planifiable-Meta-BS,v4 · DEMAIN · gagnants concours révélés,Story J-0 jour J · countdown final 22h,Story J-0 jour J · countdown final 22h,#32,10_Exports_Visuels/countdown-stories/story-J-00.png
☐,jeu 28 mai 2026,21:55,📱 Story,Story,story-J0-ouverture,manuel,v4 · DEMAIN · gagnants concours révélés,Story J-0 ouverture des portes 21h55 · 'On ouvre · La Péniche est à vous',Story J-0 ouverture des portes 21h55 · 'On ouvre · La Péniche est à vous',#32bis,visuels-generes/story-J0-ouverture/story.png
☐,jeu 28 mai 2026,22:00,🔴 Live,Stories LIVE,live-J0-cadence,manuel-soiree,v4 · DEMAIN · gagnants concours révélés,Stories live J-0 · cadence 1 toutes les 15-30 min de 22h à 04h,Stories live J-0 · cadence 1 toutes les 15-30 min de 22h à 04h,#33,live-photos
☐,jeu 28 mai 2026,23:00,📱 Story,Story,story-J0-gagnants-onsite,manuel,v4 · DEMAIN · gagnants concours révélés,Story J-0 live · gagnants concours sur place,Story J-0 live · gagnants concours sur place,concours#13,live-photo-gagnants
☐,ven 29 mai 2026,12:00,📝 Bio,BIO v5,bascule-bio-v5,manuel-mobile,v5 · post-event · 350 invités · merci,"Bascule bio Insta v5 · post-event, 350 invités, merci","Bascule bio Insta v5 · post-event, 350 invités, merci",bio-concours,
☐,ven 29 mai 2026,12:00,📸 Post feed,Carrousel 10,post-Jplus1-bestof,manuel-collab,v5 · post-event · 350 invités · merci,Carrousel 10 slides J+1 · best-of officiel de la nuit · 10 moments à retenir,Carrousel 10 slides J+1 · best-of officiel de la nuit · 10 moments à retenir,#34,best-of/
☐,ven 29 mai 2026,15:00,📂 Autre,Stories thanks,story-Jplus1-thanks,manuel,v5 · post-event · 350 invités · merci,Story J+1 thanks · 'Merci aux 350' · Drive officiel dimanche,Story J+1 thanks · 'Merci aux 350' · Drive officiel dimanche,#35,a-produire/series-thanks/
☐,ven 29 mai 2026,20:00,🎬 Reel,Reel,reel-Jplus1-aftermovie,planifiable-Meta-BS,v5 · post-event · 350 invités · merci,Reel 9:16 15s · after-movie best moments de la nuit,Reel 9:16 15s · after-movie best moments de la nuit,#36,a-produire/aftermovie.mp4
☐,sam 30 mai 2026,18:00,📱 Story,Story 4 slides,story-Jplus2-coulisses,manuel,v5 · post-event · 350 invités · merci,"Story J+2 coulisses · 'L'envers du décor, merci équipe BDA'","Story J+2 coulisses · 'L'envers du décor, merci équipe BDA'",#37,coulisses/
☐,dim 31 mai 2026,19:00,📸 Post feed,Image 1:1,post-Jplus3-drive,planifiable-Meta-BS,v5 · post-event · 350 invités · merci,Carrousel 1 slide J+3 · Drive photos ouvert · best-of par mail,Carrousel 1 slide J+3 · Drive photos ouvert · best-of par mail,#38,a-produire/post-Jplus3-drive.png
☐,mar 2 jui 2026,19:00,📱 Story,Story,story-Jplus5-rembours,manuel,v5 · post-event · 350 invités · merci,Story Insta · Jplus5 rembours,Story Insta · Jplus5 rembours,concours#14,a-produire/story-Jplus5-rembours.png
