date,heure,plateforme,type,id,statut,fiche_ref,visuel_path
2026-05-16,19:00,IG promefrei,Story,story-J12-photographe,planifiable-Meta-BS,#12,par-date-finale/2026-05-16_J-12/story-J12-photographe/story.png
2026-05-17,13:00,IG promefrei,Image 4:5,post-J11-securite,planifiable-Meta-BS,#13bis,par-date-finale/2026-05-17_J-11/post-J11-securite/slide-1.png
2026-05-17,19:00,IG promefrei,Story,story-J11-securite,planifiable-Meta-BS,#13,par-date-finale/2026-05-17_J-11/story-J11-securite/story.png
2026-05-17,20:00,IG promefrei,Reel,reel-J11-champagne,planifiable-Meta-BS,calendrier-J-11,tiktok-champagne/reel-J11-champagne-FINAL.mp4
2026-05-18,19:00,IG promefrei,Story,story-J10-10jours,planifiable-Meta-BS,#14,par-date-finale/2026-05-18_J-10/story-J10-10jours/story.png
2026-05-18,19:30,IG promefrei,Story,story-J10-concours-reminder2,planifiable-Meta-BS,concours#4,par-date-finale/2026-05-18_J-10/story-J10-concours-reminder2/story.png
2026-05-18,20:00,IG promefrei,Carrousel 3,post-J10-djreveal,planifiable-Meta-BS,#15,par-date-finale/2026-05-18_J-10/post-J10-djreveal/
2026-05-19,13:00,IG promefrei,Carrousel 5,post-J9-transports,planifiable-Meta-BS,#16bis,par-date-finale/2026-05-19_J-09/post-J9-transports/
2026-05-19,13:30,IG promefrei,Story compagnon,story-J9-transports-compagnon,planifiable-Meta-BS,#16bis-compagnon,par-date-finale/2026-05-19_J-09/story-J9-transports-compagnon/story.png
2026-05-19,19:00,IG promefrei,Story,story-J9-transports,planifiable-Meta-BS,#16,par-date-finale/2026-05-19_J-09/story-J9-transports/story.png
2026-05-20,13:00,IG promefrei,Image 4:5,post-J8-noctilien,planifiable-Meta-BS,#17bis,par-date-finale/2026-05-20_J-08/post-J8-noctilien/slide-1.png
2026-05-20,19:00,IG promefrei,Story,story-J8-noctilien,planifiable-Meta-BS,#17,par-date-finale/2026-05-20_J-08/story-J8-noctilien/story.png
2026-05-21,13:00,IG promefrei,BIO v3,bascule-bio-v3,manuel-mobile,bio-concours,
2026-05-21,13:00,IG promefrei,Carrousel 7,post-J7-recap,planifiable-Meta-BS,#19+slide-concours,par-date-finale/2026-05-21_J-07/post-J7-recap/
2026-05-21,13:30,IG promefrei,Story compagnon,story-J7-recap-compagnon,planifiable-Meta-BS,#19-compagnon,par-date-finale/2026-05-21_J-07/story-J7-recap-compagnon/story.png
2026-05-21,19:00,IG promefrei,Story,story-J7-1sem,planifiable-Meta-BS,#18,par-date-finale/2026-05-21_J-07/story-J7-1sem/story.png
2026-05-21,20:00,IG promefrei,Reel,reel-J7-teaser,planifiable-Meta-BS,#20,09_Video_Remotion/out/TeaserVertical.mp4
2026-05-22,13:00,IG promefrei,Image 4:5,post-J6-dresscode,planifiable-Meta-BS,#21bis,par-date-finale/2026-05-22_J-06/post-J6-dresscode/slide-1.png
2026-05-22,19:00,IG promefrei,Story,story-J6-finalisation,planifiable-Meta-BS,#21,par-date-finale/2026-05-22_J-06/story-J6-finalisation/story.png
2026-05-23,13:00,IG promefrei,Carrousel 5,post-J5-programme,planifiable-Meta-BS,#23,par-date-finale/2026-05-23_J-05/post-J5-programme/
2026-05-23,13:30,IG promefrei,Story compagnon,story-J5-programme-compagnon,planifiable-Meta-BS,#23-compagnon,par-date-finale/2026-05-23_J-05/story-J5-programme-compagnon/story.png
2026-05-23,19:00,IG promefrei,Story,story-J5-programme,planifiable-Meta-BS,#22,par-date-finale/2026-05-23_J-05/story-J5-programme/story.png
2026-05-23,19:30,IG promefrei,Story,story-J5-concours-48h,planifiable-Meta-BS,concours#5,par-date-finale/2026-05-23_J-05/story-J5-concours-48h/story.png
2026-05-24,13:00,IG promefrei,Carrousel 6,post-J4-timeline,planifiable-Meta-BS,#24bis,par-date-finale/2026-05-24_J-04/post-J4-timeline/
2026-05-24,19:00,IG promefrei,Story,story-J4-tenue,planifiable-Meta-BS,#24,par-date-finale/2026-05-24_J-04/story-J4-tenue/story.png
2026-05-24,19:30,IG promefrei,Story,story-J4-concours-demain,planifiable-Meta-BS,concours#6,par-date-finale/2026-05-24_J-04/story-J4-concours-demain/story.png
2026-05-25,13:00,IG promefrei,Image 1:1,post-J3-derniers,planifiable-Meta-BS,#26,par-date-finale/2026-05-25_J-03/post-J3-derniers/slide-1.png
2026-05-25,19:00,IG promefrei,Story,story-J3-3jours,planifiable-Meta-BS,#25,par-date-finale/2026-05-25_J-03/story-J3-3jours/story.png
2026-05-25,23:00,IG promefrei,Story,story-J3-concours-1h,manuel,concours#7,par-date-finale/2026-05-25_J-03/story-J3-concours-1h/story.png
2026-05-26,18:00,IG promefrei,Carrousel 4,post-J2-shortlist,manuel-collab,concours#8,par-date-finale/2026-05-26_J-02/post-J2-shortlist/
2026-05-26,18:05,IG promefrei,Story poll,story-J2-vote,manuel-poll,concours#9,par-date-finale/2026-05-26_J-02/story-J2-vote/story.png
2026-05-26,19:00,IG promefrei,Story,story-J2-48h,planifiable-Meta-BS,#27,par-date-finale/2026-05-26_J-02/story-J2-48h/story.png
2026-05-27,12:00,IG promefrei,Story,story-J1-concours-vote-clos,planifiable-Meta-BS,concours#10,par-date-finale/2026-05-27_J-01/story-J1-concours-vote-clos/story.png
2026-05-27,13:00,IG promefrei,Image 1:1,post-J1-demain,planifiable-Meta-BS,#29,par-date-finale/2026-05-27_J-01/post-J1-demain/slide-1.png
2026-05-27,19:00,IG promefrei,BIO v4,bascule-bio-v4,manuel-mobile,bio-concours,
2026-05-27,19:00,IG promefrei,Image 1:1,post-J1-gagnant,manuel-collab,concours#11,par-date-finale/2026-05-27_J-01/post-J1-gagnant/slide-1.png
2026-05-27,19:00,IG promefrei,Story,story-J1-demain,planifiable-Meta-BS,#28,par-date-finale/2026-05-27_J-01/story-J1-demain/story.png
2026-05-27,19:05,IG promefrei,Story 3 slides,story-J1-gagnant-celebration,manuel,concours#12,par-date-finale/2026-05-27_J-01/story-J1-gagnant-celebration/story.png
2026-05-28,11:00,IG promefrei,Story,story-J0-matin,planifiable-Meta-BS,#30,par-date-finale/2026-05-28_J0/story-J0-matin/story.png
2026-05-28,13:00,IG promefrei,Image 1:1,post-J0-cesoir,planifiable-Meta-BS,#31,par-date-finale/2026-05-28_J0/post-J0-cesoir/slide-1.png
2026-05-28,18:00,IG promefrei,Story,story-J0-jourj,planifiable-Meta-BS,#32,par-date-finale/2026-05-28_J0/story-J0-jourj/story.png
2026-05-28,21:55,IG promefrei,Story,story-J0-ouverture,manuel,#32bis,par-date-finale/2026-05-28_J0/story-J0-ouverture/story.png
2026-05-28,22:00,IG promefrei,Stories LIVE,live-J0-cadence,manuel-soiree,#33,live-photos
2026-05-28,23:00,IG promefrei,Story,story-J0-gagnants-onsite,manuel,concours#13,par-date-finale/2026-05-28_J0/story-J0-gagnants-onsite/story.png
2026-05-29,12:00,IG promefrei,BIO v5,bascule-bio-v5,manuel-mobile,bio-concours,
2026-05-29,12:00,IG promefrei,Carrousel 10,post-Jplus1-bestof,manuel-collab,#34,par-date-finale/2026-05-29_Jplus1/post-Jplus1-bestof/
2026-05-29,15:00,IG promefrei,Stories thanks,story-Jplus1-thanks,manuel,#35,par-date-finale/2026-05-29_Jplus1/story-Jplus1-thanks/story.png
2026-05-29,20:00,IG promefrei,Reel,reel-Jplus1-aftermovie,planifiable-Meta-BS,#36,a-produire/aftermovie.mp4
2026-05-30,13:00,IG promefrei,Image 4:5,post-Jplus2-coulisses,planifiable-Meta-BS,#37bis,par-date-finale/2026-05-30_Jplus2/post-Jplus2-coulisses/slide-1.png
2026-05-30,18:00,IG promefrei,Story 4 slides,story-Jplus2-coulisses,manuel,#37,par-date-finale/2026-05-30_Jplus2/story-Jplus2-coulisses/story.png
2026-05-31,19:00,IG promefrei,Image 1:1,post-Jplus3-drive,planifiable-Meta-BS,#38,par-date-finale/2026-05-31_Jplus3/post-Jplus3-drive/slide-1.png
2026-06-02,13:00,IG promefrei,Image 4:5,post-Jplus5-rembours,planifiable-Meta-BS,#39,par-date-finale/2026-06-02_Jplus5/post-Jplus5-rembours/slide-1.png
2026-06-02,19:00,IG promefrei,Story,story-Jplus5-rembours,manuel,concours#14,par-date-finale/2026-06-02_Jplus5/story-Jplus5-rembours/story.png
